id,skyddsrumsnr,gatuadress,kommunnamn,antalplatser,latitude,longitude
62922245,121548-8,Virebergsvägen 11,Solna,133,17.985760445807298,59.35958523376294
62922246,121549-3,Brommavägen 8,Solna,133,17.986174357108393,59.359288197525075
62922247,121550-9,Virebergsvägen 9,Solna,74,17.987304424476875,59.35972957046755
62922248,121551-4,Virebergsvägen 9,Solna,133,17.98732435621458,59.35975607161725
62922249,121553-5,Johan Enbergs väg 48A,Solna,170,18.001234266536304,59.345867490390305
62922250,121554-0,Johan Enbergs väg 44,Solna,195,18.001883789924655,59.34605022009992
62922251,121555-6,Johan Enbergs väg 40B,Solna,170,18.002406449945884,59.346190939866794
62922252,121556-1,Tvärvägen 2-4,Solna,130,17.979069500748878,59.36517487733017
62922253,121557-7,Vårvägen 5,Solna,72,17.988233940779224,59.361092106675656
62922254,121558-2,Sommarvägen 5,Solna,138,17.989034099724943,59.36098389670041
62922255,121559-8,Sommarvägen 3,Solna,142,17.989012791829815,59.3607417628402
62922256,121560-3,Virebergsvägen 16,Solna,90,17.98794009970768,59.36035300457537
62922257,121561-9,Virebergsvägen 14,Solna,93,17.98794009970768,59.36035300457537
62922258,121562-4,Skytteholmsvägen 5 B,Solna,245,17.998916919280877,59.356093084183286
62922259,121564-5,Ankdammsgatan 36,Solna,200,17.98964052671128,59.355874909612325
62922260,121566-6,Krysshammarvägen 2,Solna,400,17.9952256244215,59.34935756796704
62922261,121567-1,Krysshammarvägen 10,Solna,50,17.99528191773055,59.34979659066418
62922262,121568-7,Krysshammarvägen 14,Solna,400,17.99420871462834,59.349398913325025
62922263,121569-2,Krysshammarvägen 18,Solna,50,17.99417640257726,59.34983098641302
62922264,121570-8,Ekensbergsvägen 87,Solna,70,17.987858892762336,59.36163088077427
62922265,121571-3,Ekensbergsvägen 85,Solna,75,17.98964495926049,59.361724710677166
62922266,121572-9,Höstvägen 3,Solna,112,17.990829610880965,59.36118532562388
62922267,121573-4,Virebergsvägen 8,Solna,100,17.990326896270663,59.36087336474917
62922268,121575-5,Sommarvägen 2,Solna,85,17.98977898689527,59.36104768422161
62922269,121576-0,Hagavägen 4,Solna,182,18.02264934400261,59.36251799769263
62922270,121582-3,Pyramidvägen 9 B-c,Solna,142,18.005085386654834,59.36792942661007
62922271,121583-9,Pyramidvägen 9 A,Solna,104,18.005085386654834,59.36792942661007
62922272,121584-4,Pyramidvägen 7,Solna,163,18.00613490151187,59.367653614380956
62922273,121586-5,Råsundavägen 154,Solna,84,17.982221173896136,59.36598342727336
62922274,121587-0,Råsundavägen 156,Solna,99,17.98171452794085,59.36562659346651
62922275,121588-6,Råsundavägen 158,Solna,80,17.98115518686696,59.36527096315573
62922276,121589-1,Råsundavägen 152,Solna,80,17.982755091830438,59.36624977522317
62922277,121593-3,Gustafsvägen 11 B,Solna,50,18.004061970162518,59.36452033782998
62922278,121594-9,Södra Långgatan 25,Solna,93,18.004786330783702,59.36435087613924
62922279,121595-4,Wiboms Väg 17,Solna,166,17.996600589532136,59.346791882239984
62922280,121597-5,Wiboms Väg 27,Solna,173,17.997531677697243,59.346177383106
62922281,121598-0,Råsundavägen 13,Solna,192,18.020181984644825,59.36307842495183
62922282,121599-6,Råsundavägen 15,Solna,194,18.01946732451602,59.363157887699174
62922283,121601-5,Råsundavägen 17-19,Solna,237,18.018754255125693,59.3632552819009
62922284,121602-0,Södra Långgatan 35,Solna,48,18.00311769910875,59.36518909683072
62922285,121603-6,Södra Långgatan 33,Solna,30,18.003547386486943,59.36507136229913
62922286,121604-1,Gustafsvägen 14,Solna,57,18.003353704168134,59.36447375871707
62922287,121605-7,Gustafsvägen 10-12,Solna,80,18.0038622608703,59.36465074598568
62922288,121607-8,Råsundavägen 1-3,Solna,80,18.02333921913484,59.362951303007534
62922289,121608-3,Råsundavägen 1-3,Solna,135,18.02333921913484,59.362951303007534
62922290,121615-1,Vasavägen 29,Solna,29,18.000297133478487,59.36534391877943
62922291,121616-7,Vasavägen 11,Solna,33,18.003783734996496,59.3637629342994
62922292,121619-3,Hagavägen 18,Solna,50,18.019320549309516,59.36210092376374
62922293,121620-9,Slottsvägen 9,Solna,50,18.01876961552954,59.36204179758056
62922294,121621-4,Carl Thunbergs Väg 7,Solna,72,18.01901784735036,59.36265609088568
62922295,121623-5,Slottsvägen 5,Solna,78,18.01901784735036,59.36265609088568
62922296,121624-0,Johan Enbergsväg 60,Solna,121,17.999247456270687,59.345284218456094
62922297,121625-6,Johan Enbergs väg 54B,Solna,185,17.999849033124317,59.345521978253394
62922298,121626-1,Johan Enbergsväg 36-38,Solna,195,18.003123592951134,59.34674053500272
62922299,121627-7,Johan Enbergsväg 32,Solna,147,18.003123592951134,59.34674053500272
62922300,121628-2,Förvaltarvägen 6,Solna,69,18.013230479567877,59.36508148841351
62922301,121629-8,Förvaltarvägen 4,Solna,69,18.013902896924897,59.364922162567
62922302,121630-3,Förvaltarvägen 2,Solna,69,18.014591283598207,59.36474449153674
62922303,121631-9,Industrivägen 10,Solna,72,18.0145734935876,59.35700785172781
62922304,121632-4,Gelbgjutarevägen 5,Solna,46,18.014782557502592,59.35738043242951
62922305,121634-5,Gelbgjutarevägen 9,Solna,65,18.013709562056185,59.35738727983671
62922306,121635-0,Åldermansvägen 17-19,Solna,58,18.01389095205712,59.356852903413866
62922307,121637-1,Industrivägen 12-14,Solna,116,18.014613508076007,59.35666545322369
62922308,121638-7,Törnbacken 8,Solna,91,18.00503405246818,59.37848924477054
62922309,121639-2,Törnbacken 6,Solna,86,18.005599839852096,59.37811675880974
62922310,121640-8,Törnbacken 4,Solna,88,18.00647302179298,59.37803372170932
62922311,121641-3,Östervägen 40,Solna,45,17.994361961451023,59.36850870751963
62922312,121642-9,Östervägen 38,Solna,50,17.994829403688378,59.36821940080933
62922313,121643-4,Östervägen 36,Solna,49,17.995276895072266,59.36790359266311
62922314,121649-7,Rådjursstigen 4,Solna,100,18.038675090517227,59.38148363460719
62922315,121650-2,Rådjursstigen 12,Solna,38,18.038675090517227,59.38148363460719
62922316,121651-8,Rådjursstigen 14,Solna,100,18.039586354240495,59.38084234357613
62922317,121652-3,Rådjursstigen 18,Solna,100,18.039586354240495,59.38084234357613
62922318,121653-9,Rådjursstigen 22,Solna,125,18.039586354240495,59.38084234357613
62922319,121654-4,Rådjursstigen 44,Solna,110,18.038134075566003,59.38114578192248
62922320,121656-5,Rådjursstigen 36,Solna,110,18.038858522766272,59.380778435485944
62922321,121657-0,Rådjursstigen 24,Solna,106,18.038328670509777,59.38036843394134
62922322,121658-6,Krysshammarvägen 28,Solna,63,17.993145076341904,59.34990859871886
62922323,121659-1,Krysshammarvägen 24,Solna,400,17.99307617210398,59.349326088429855
62922324,121660-7,Krysshammarsvägen 36,Solna,400,17.991969879832787,59.3493514974514
62922325,121661-2,Krysshammarvägen 42-44,Solna,57,17.992019814127453,59.34971877860107
62922326,121662-8,Jonstorpsvägen 18-24,Solna,176,17.979667417031884,59.35252691224158
62922327,121663-3,Jonstorpsvägen 26-32,Solna,190,17.97959979370284,59.35295978623334
62922328,121665-4,Gunnarbovägen 2,Solna,225,17.999080710317358,59.381070542236536
62922329,121668-0,Hannebergsgatan 23,Solna,80,18.003208818719177,59.3572612774067
62922330,121669-6,Hannebergsgatan 13,Solna,75,18.004411339293135,59.356928031171826
62922331,121672-2,Ekensbergsvägen 79,Solna,75,17.991588534033706,59.361608222022326
62922332,121673-8,Ekensbergsvägen 71,Solna,74,17.99200873777198,59.36138291073542
62922333,121674-3,Ekensbergsvägen 63,Solna,104,17.993298988656342,59.36144314253129
62922334,121675-9,Virebergsvägen 2-4,Solna,56,17.991562657593516,59.36111458432773
62922335,121676-4,Hjortstigen 1,Solna,150,18.030483317555174,59.383237904362645
62922336,121678-5,Hjortstigen 1,Solna,250,18.030483317555174,59.383237904362645
62922337,121679-0,Hjortstigen 1,Solna,111,18.032163607717923,59.383513352021254
62922338,121680-6,Törnbacken 1,Solna,30,18.00525093813609,59.37775637365745
62922339,121681-1,Törnbacken 5,Solna,68,18.00525093813609,59.37775637365745
62922340,121682-7,Törnbacken 13,Solna,53,18.00418273756117,59.378023618210705
62922341,121683-2,Lundagatan 4,Solna,68,18.005478715767058,59.35407279872372
62922342,121684-8,Lundavägen 18-20,Solna,74,18.001458357631392,59.35438113291386
62922343,121685-3,Lundagatan 14,Solna,33,18.00258157399691,59.354346269583594
62922344,121686-9,Lundagatan 6a-b,Solna,62,18.004863124008033,59.354275703943266
62922345,121687-4,Råsundavägen 165,Solna,33,17.981430189598207,59.36439303187256
62922346,121689-5,Rättarvägen 2,Solna,30,18.01131166311821,59.36488321235186
62922347,121690-0,Förvaltarvägen 23-25,Solna,62,18.012142922765236,59.36492690595543
62922348,121691-6,Förvaltarvägen 17-21,Solna,41,18.012453644191382,59.36465912710677
62922349,121692-1,Ekensbergsvägen 89,Solna,71,17.986957117600642,59.36118427949671
62922350,121693-7,Ekensbergsvägen 89,Solna,88,17.98680655158479,59.360873219908854
62922351,121694-2,Framnäsbacken 22,Solna,229,17.9848907828814,59.35629830498846
62922352,121695-8,Ingentingsgatan 3,Solna,36,18.002073035014853,59.35317182422962
62922353,121696-3,Ingentingsgatan 5,Solna,36,18.002269515445573,59.35300554781269
62922354,121700-3,Råsundavägen 80,Solna,117,18.00051516967305,59.367612372720316
62922355,121701-9,Råsundavägen 80,Solna,100,18.00051516967305,59.367612372720316
62922356,121702-4,Råsundavägen 80,Solna,80,18.00051516967305,59.367612372720316
62922357,121706-6,Kungshamra 11,Solna,218,18.02583401015876,59.38127009215983
62922358,121707-1,Kungshamra 21,Solna,218,18.024983142581206,59.380813572069236
62922359,121708-7,Björnstigen 91,Solna,218,18.02324711231631,59.381491857739086
62922360,121709-2,Kungshamra 41,Solna,218,18.024166682101455,59.381928823124966
62922361,121710-8,Kungshamravägen 51,Solna,218,18.024065236538565,59.382964582185814
62922362,121711-3,Kungshamra 71,Solna,218,18.0262919387248,59.383047706386876
62922363,121712-9,Johan Enbergs väg 1,Solna,158,18.005076002552123,59.347728917843305
62922364,121713-4,Karlsrogatan 2,Solna,125,18.00173307535722,59.377406092686876
62922365,121717-6,Nanna Swartz väg 4,Solna,30,18.026085999207847,59.34754815376991
62922366,121719-7,Doktorsringen 22,Solna,46,18.027655932893193,59.347790251871956
62922367,121720-2,Nobels väg 10,Solna,32,18.026770841652606,59.348323029581174
62922368,121722-3,Banvaktsvägen 24,Solna,25,18.01599953648151,59.35622001889843
62922369,121726-5,Banvaktsvägen 20,Solna,50,18.01608885066041,59.35663131378365
62922370,121727-0,Industrivägen 19,Solna,145,18.01540137971372,59.3570156552683
62922371,121728-6,Råsundavägen 160,Solna,100,17.980647775741343,59.36490515701358
62922372,121729-1,Råsundavägen 162,Solna,112,17.98012359430851,59.36454871849069
62922373,121730-7,Lövgatan 68,Solna,125,17.97960650514181,59.364272989691806
62922374,121732-8,Lövgatan 70,Solna,125,17.97888175368192,59.364640009958315
62922375,121734-9,Råsundavägen 159,Solna,68,17.98170685078958,59.364737156285244
62922376,121735-4,Wiboms Väg 5,Solna,174,17.99712006992152,59.34789420533118
62922377,121737-5,Wiboms Väg 15,Solna,157,17.99664012702911,59.34724027612633
62922378,121740-1,Sagagatan 12-14,Solna,57,18.001587634968036,59.35684033990697
62922379,121743-8,Östervägen 4,Solna,60,18.003330876183078,59.36262315331889
62922380,121744-3,Östervägen 2,Solna,56,18.003600843106597,59.362491126586
62922381,121745-9,Mäster Simons Väg 5 B,Solna,38,18.012352855361883,59.3770173489538
62922382,121746-4,Bergstigen 14,Solna,66,17.985396865992158,59.36546142473023
62922383,121748-5,Bergstigen 12,Solna,73,17.985918626875176,59.365188878184384
62922384,121749-0,Bergstigen 10,Solna,73,17.98663363108821,59.36491190127569
62922385,121750-6,Bergstigen 8,Solna,61,17.987148274347323,59.364558638529374
62922386,121751-1,Mäster Simons Väg 11,Solna,33,18.010713036943102,59.37659694072923
62922387,121752-7,Nämndemansgatan 8,Solna,30,18.01165870969475,59.376934540308056
62922388,121753-2,Mäster Simons Väg 9 B,Solna,30,18.011239388728114,59.37677349127026
62922389,121754-8,Råsundavägen 66,Solna,50,18.00624769905725,59.36574596306144
62922390,121755-3,Råsundavägen 64,Solna,70,18.006968104027177,59.36553165029427
62922391,121756-9,Råsundavägen 62,Solna,88,18.00763897213768,59.36535442092771
62922392,121757-4,Råsundavägen 60,Solna,81,18.008432015577856,59.36516538178505
62922393,121759-5,Erik Sandbergs Gata 17,Solna,50,17.988388262232817,59.365446785948464
62922394,121760-0,Erik Sandbergs Gata 21,Solna,50,17.987085390050435,59.36584507911478
62922395,121761-6,Erik Sandbergs Gata 19,Solna,50,17.987682940438265,59.36563369045365
62922396,121762-1,Erik Sandbergs Gata 23,Solna,50,17.986447173674716,59.365994494690774
62922397,121763-7,Ripstigen 2,Solna,112,18.041677185633386,59.37803481093803
62922398,121764-2,Ripstigen 4,Solna,120,18.04219064017275,59.3776723671771
62922399,121765-8,Ripstigen 6,Solna,136,18.042730500259538,59.377408153277315
62922400,121766-3,Ripstigen 8,Solna,136,18.04378883590214,59.37723068037198
62922401,121767-9,Lostigen 22,Solna,96,18.03132580390116,59.38143007115177
62922402,121768-4,Lostigen 26-28,Solna,96,18.03132580390116,59.38143007115177
62922403,121770-5,Lostigen 6,Solna,125,18.03131600968588,59.380531681996324
62922404,121771-0,Lostigen 12,Solna,65,18.032346616179915,59.380633520609706
62922405,121772-6,Storgatan 13,Solna,50,17.99963493257875,59.35346161175719
62922406,121773-1,Storgatan 11,Solna,70,18.000208009613477,59.3535742229408
62922407,121774-7,Huvudstagatan 19,Solna,82,17.99735515736088,59.35235487150981
62922408,121775-2,Ängkärrsgatan 4-8,Solna,161,17.9983210487208,59.35233264898755
62922409,121776-8,Ängkärrsgatan 10-14,Solna,130,17.99840772765364,59.35171960182302
62922410,121777-3,Ängkärrsgatan 16,Solna,85,17.997938626975614,59.35138892538524
62922411,121778-9,Ängkärrsgatan 20,Solna,96,17.998186218429783,59.35120350710942
62922412,121779-4,Huvudstagatan 27,Solna,50,17.997008994326254,59.3510239107917
62922413,121781-5,Huvudstagatan 29,Solna,88,17.997090471288427,59.35095014817146
62922414,121782-0,Huvudstagatan 23,Solna,84,17.997244723513553,59.351701429265425
62922415,121783-6,Backvägen 9,Solna,85,17.999492625288905,59.369190496282535
62922416,121784-1,Backvägen 7,Solna,96,17.998902652484727,59.368889559894434
62922417,121785-7,Backvägen 5,Solna,80,17.998233550294074,59.368689287774174
62922418,121786-2,Backvägen 3,Solna,80,17.997689029379423,59.36850411924334
62922419,121787-8,Backvägen 1,Solna,65,17.997082306086593,59.36821254629594
62922420,121788-3,Backvägen 10,Solna,65,18.000245909672703,59.36894850768634
62922421,121789-9,Backvägen 8,Solna,73,17.999695035887974,59.36869160510985
62922422,121790-4,Backvägen 6,Solna,92,17.999097005102055,59.36849868777706
62922423,121792-5,Backvägen 4,Solna,89,17.998519718639514,59.36834123477018
62922424,121795-1,Backvägen 2,Solna,75,17.99792407586984,59.3681752154467
62922425,121797-2,Johan Enbergs väg 7,Solna,158,18.004259593246534,59.34625605389463
62922426,121798-8,Johan Enbergs väg 9,Solna,158,18.003501655953784,59.34584219673543
62922427,121799-3,Industrivägen 15,Solna,58,18.016179619162823,59.357653631951116
62922428,121801-2,Nybodagatan 5,Solna,150,17.991387052301537,59.35692213812952
62922429,121802-8,Nybodagatan 7,Solna,150,17.991575739031102,59.35746595470011
62922430,121803-3,Fläderstigen 13,Solna,88,18.00543425437183,59.37704224806051
62922431,121804-9,Törnbacken 2,Solna,100,18.006683420330546,59.377426802315966
62922432,121805-4,Fläderstigen 2-6,Solna,98,18.00729039179829,59.377718328222855
62922433,121807-5,Ankdammsgatan 23,Solna,46,17.987862443557454,59.3560684538094
62922434,121808-0,Ankdammsgatan 19,Solna,165,17.988563041762877,59.35563004480341
62922435,121809-6,Ankdammsgatan 21,Solna,175,17.988738263315728,59.356021411173344
62922436,121810-1,Lostigen 32-36,Solna,133,18.029578592878558,59.381587505193785
62922437,121813-8,Fyrgränd 4,Solna,50,18.01186544111461,59.36378309689291
62922438,121814-3,Forngränd 2 A-B,Solna,133,18.013007317481094,59.36375670306798
62922439,121815-9,Viktoriagatan 3-7,Solna,54,18.01547818296025,59.36263919347334
62922440,121816-4,Broddgatan 1-3,Solna,28,18.01547818296025,59.36263919347334
62922441,121818-5,Nybodagatan 10,Solna,118,17.992280824483963,59.35647927413555
62922442,121819-0,Nybodagatan 12,Solna,78,17.992280824483963,59.35647927413555
62922443,121820-6,Nybodagatan 16,Solna,100,17.992449403809264,59.35719428609023
62922444,121821-1,Nybodagatan 14,Solna,122,17.992449403809264,59.35719428609023
62922445,121822-7,Nybodagatan 6 B,Solna,128,17.993156219594255,59.356027839712425
62922446,121823-2,Ankdammsgatan 18-20,Solna,104,17.994126785905962,59.35625715181416
62922447,121824-8,Ankdammsgatan 18-20,Solna,125,17.994126785905962,59.35625715181416
62922448,121825-3,Ankdammsgatan 24,Solna,106,17.994005772516672,59.355882518363636
62922449,121826-9,Nybodagatan 2,Solna,100,17.99212981623051,59.35576385854739
62922450,121827-4,Nybodagatan 4,Solna,100,17.99212981623051,59.35576385854739
62922451,121829-5,Ankdammsgatan 30,Solna,160,17.99336181173017,59.355564828955764
62922452,121830-0,Ankdammsgatan 14-16,Solna,158,17.993329555900466,59.35679665779476
62922453,121831-6,Ankdammsgatan 14-16,Solna,153,17.99466328631879,59.357152414347176
62922454,121832-1,Ankdammsgatan 14-16,Solna,90,17.993448194723243,59.35714438819229
62922455,121833-7,Wiboms Väg 8,Solna,163,17.995420986146822,59.34678306376295
62922456,121834-2,Wiboms Väg 10,Solna,167,17.996014365221452,59.346329102845765
62922457,121835-8,Wiboms Väg 12,Solna,167,17.99667954337174,59.34589145965148
62922458,121836-3,Hannebergsgatan 16,Solna,64,18.004876388991274,59.35760923699245
62922459,121837-9,Hannebergsgatan 14,Solna,66,18.00537883134187,59.357121387441076
62922460,121838-4,Ängkärrsgatan 3,Solna,57,17.99819053821907,59.35284785784483
62922461,121840-5,Västra Vägen 3 B,Solna,156,18.00397837973524,59.3613861232581
62922462,121841-0,Västra Vägen 1 D,Solna,190,18.004389771675886,59.36106212697393
62922463,121842-6,Nybodagatan 3,Solna,140,17.991402031045272,59.35629277183956
62922464,121843-1,Nybodagatan 1,Solna,200,17.991249270841312,59.35575711642684
62922465,121844-7,Förvaltarvägen 10,Solna,61,18.011777035279096,59.36536669483892
62922466,121845-2,Förvaltarvägen 8,Solna,64,18.01242148856708,59.36528889802703
62922467,121849-4,Ripstigen 5,Solna,86,18.039914804776277,59.379396892506705
62922468,121851-5,Ripstigen 3,Solna,85,18.0406488362227,59.379137146191276
62922469,121852-0,Ripstigen 1,Solna,146,18.04095855242861,59.37866263897388
62922470,121853-6,Förvaltarvägen 9-11,Solna,164,18.013639498906414,59.36453286438308
62922471,121854-1,Förvaltarvägen 3,Solna,38,18.014244077719503,59.36420436898153
62922472,121855-7,Erik Sandbergs Gata 24,Solna,68,17.983070473723807,59.36563150976989
62922473,121856-2,Erik Sandbergs Gata 30,Solna,68,17.983070473723807,59.36563150976989
62922474,121857-8,Erik Sandbergs Gata 34,Solna,68,17.98258218051717,59.365283245200544
62922475,121858-3,Erik Sandbergs Gata 40,Solna,68,17.98258218051717,59.365283245200544
62922476,121859-9,Erik Sandbergs Gata 44,Solna,106,17.982847045322558,59.3654928475059
62922477,121860-4,Erik Sandbergs Gatan 50,Solna,68,17.982847045322558,59.3654928475059
62922478,121862-5,Regementsgatan 56,Solna,104,18.00488093632923,59.37656076974617
62922479,121863-0,Enköpingsvägen 19 B,Solna,56,18.005507250112196,59.37647444271484
62922480,121864-6,Ritorpsvägen 9,Solna,70,18.007017915395824,59.37623292498047
62922481,121865-1,Regemensgatan 50,Solna,97,18.00507457523963,59.375963225533816
62922482,121866-7,Ritorpsvägen 3,Solna,50,18.007368087841765,59.37561379365426
62922483,121871-4,Skytteholmsvägen 22,Solna,105,17.999874370924612,59.357967106285294
62922484,121873-5,Skytteholmsvägen 26,Solna,50,17.999939594888332,59.358307075332796
62922485,121874-0,Centralvägen 17,Solna,97,18.001191441732615,59.35833216723159
62922486,121875-6,Framnäsbacken 7,Solna,133,17.986158314673762,59.35650290112087
62922487,121876-1,Framnäsbacken 5,Solna,92,17.986466802713842,59.35620827905232
62922488,121877-7,Framnäsbacken 1,Solna,113,17.986830341847984,59.355939352398494
62922489,121878-2,Johan Enbergs väg 3,Solna,158,18.00501562226722,59.34724506121247
62922490,121879-8,Johan Enbergs väg 5,Solna,158,18.004654367967227,59.34674118541092
62922491,121880-3,Huvudstagatan 6,Solna,25,17.99672039002048,59.353537659605784
62922492,121881-9,Polhemsgatan 2,Solna,47,17.996724505626013,59.353384801950156
62922493,121882-4,Polhemsgatan 4,Solna,25,17.996037997212603,59.35338261651298
62922494,121884-5,Huvudstagatan 4,Solna,54,17.996393661803275,59.35382374112237
62922495,121885-0,Storgatan 25,Solna,74,17.995797329015705,59.353846438784544
62922496,121886-6,Polhemsgatan 8,Solna,46,17.99565241880678,59.35340046758812
62922497,121887-1,Illerstigen 26-32,Solna,262,18.02565360600174,59.383592704497254
62922498,121888-7,Illerstigen 10-16,Solna,262,18.02705657273567,59.383326498139574
62922499,121889-2,Kristinelundsvägen 4,Solna,90,17.988964710311006,59.349393513710204
62922500,121890-8,Kristinelundsvägen 6,Solna,90,17.98925376842073,59.34927904989015
62922501,121891-3,Kristinelundsvägen 20,Solna,350,17.990446286534002,59.348433955379846
62922502,121892-9,Skytteholmsvägen 20,Solna,82,18.000292237644707,59.35751716876522
62922503,121893-4,Hannebergsgatan 24,Solna,124,18.001265403795333,59.35757563374622
62922504,121896-0,Kristinelundsvägen 38,Solna,364,17.992455346122213,59.34747125070512
62922505,121897-6,Karolinagatan 7,Solna,45,17.995081792125827,59.35231728655103
62922506,121901-6,Ekensbergsvägen 90,Solna,168,17.990896734419206,59.361947597525656
62922507,121902-1,Ekensbergsvägen 90,Solna,168,17.991196158605643,59.361949711525504
62922508,121903-7,Stråkvägen 11,Solna,168,17.990315653035285,59.36254502346519
62922509,121904-2,Stråkvägen 11,Solna,168,17.990315653035285,59.36254502346519
62922510,121905-8,Klippgatan 1-3,Solna,133,18.006679769081632,59.35630958695033
62922511,121906-3,Hotellgatan 1-9,Solna,240,18.001135834308993,59.35909726393278
62922512,121907-9,Sagagatan 15,Solna,44,18.00082023080144,59.35711861018901
62922513,121908-4,Skytteholmsvägen 14,Solna,150,18.00021764746437,59.35687188912144
62922514,121910-5,Skytteholmsvägen 10-12,Solna,47,17.999922510810432,59.35651924114528
62922515,121917-3,Fläderstigen 5,Solna,90,18.007084647850625,59.37698621607298
62922516,121918-9,Hannebergsgatan 22,Solna,104,18.002185087551037,59.35762633758626
62922517,121919-4,Hannebergsgatan 20,Solna,81,18.00309355186305,59.3577491821688
62922518,121921-5,Hannebergsgatan 18,Solna,78,18.004153757675226,59.35779663377334
62922519,121922-0,Ankdammsgatan 42,Solna,175,17.989166839373535,59.35769196761289
62922520,121923-6,Ankdammsgatan 40,Solna,160,17.98928961195978,59.35708708764085
62922521,121924-1,Ankdammsgatan 38,Solna,170,17.989591965784438,59.356523017749446
62922522,121925-7,Bredkilsbacken 1,Solna,150,17.99505752053617,59.35084413153675
62922523,121926-2,Bredkilsbacken 1,Solna,85,17.994832389983483,59.35088525053381
62922524,121927-8,Virebergsvägen 7,Solna,98,17.99034011847676,59.36042376002442
62922525,121928-3,Virebergsvägen 5,Solna,75,17.990960261356268,59.36067012355725
62922526,121929-9,Virebergsvägen 3,Solna,92,17.992114694871546,59.36078739989136
62922527,121930-4,Virebergsvägen 1,Solna,90,17.992975252674814,59.36096533184196
62922528,121932-5,Bygatan 39,Solna,175,17.98538070591066,59.35025746612849
62922529,121933-0,Bygatan 33,Solna,175,17.984752782033244,59.35072115260385
62922530,121934-6,Bygatan 27,Solna,175,17.98421524423517,59.351012031456555
62922531,121935-1,Bygatan 21,Solna,175,17.983677697244147,59.35130290815467
62922532,121936-7,Bygatan 15,Solna,250,17.98297500179764,59.351516689327774
62922533,121937-2,Bygatan 7,Solna,250,17.982492482600954,59.351833259079555
62922534,121938-8,Polhemsgatan 12,Solna,106,17.994495680949058,59.35345401398841
62922535,121939-3,Storgatan 29,Solna,44,17.994457047125973,59.35381434382758
62922536,121946-1,Regementsgatan 23,Solna,153,18.00810644761716,59.3750036760214
62922537,121950-3,Berzeliusvägen 29,Solna,23,18.029324735206504,59.34716735793027
62922538,121951-9,Karolinagatan 1-3,Solna,58,17.996441321301536,59.35216921040874
62922539,121952-4,Emmylundsvägen 3,Solna,104,18.001135610236798,59.34773886833558
62922540,121954-5,Emmylundsvägen 1,Solna,157,18.001135610236798,59.34773886833558
62922541,121955-0,Jungfrudansen 34,Solna,138,17.98349857125792,59.34826075218491
62922542,121956-6,Jungfrudansen 26,Solna,138,17.984913265386925,59.347940797086096
62922543,121957-1,Göran Persons Väg 27-29,Solna,241,17.98320861024581,59.35437787706156
62922544,121958-7,Göran Persons Väg 3,Solna,181,17.98283500106857,59.35373045161944
62922545,121959-2,Göran Persons Väg 23,Solna,80,17.98299785485931,59.3543827019021
62922546,121960-8,Göran Persons Väg 19,Solna,306,17.98299785485931,59.3543827019021
62922547,121961-3,Västra Vägen 9 C,Solna,166,18.004399979318045,59.35998356177354
62922548,121962-9,Västra Vägen 9 D,Solna,149,18.004399979318045,59.35998356177354
62922549,121963-4,Blomgatan 3,Solna,156,18.006508424568086,59.36033930995614
62922550,121965-5,Blomgatan 3,Solna,178,18.006508424568086,59.36033930995614
62922551,121966-0,Jungfrudansen 17,Solna,225,17.988601396469775,59.34726317207405
62922552,121967-6,Jungfrudansen 3,Solna,170,17.986664181146644,59.34884420467632
62922553,121968-1,Jungfrudansen 11,Solna,200,17.988067040405202,59.34838969609616
62922554,121969-7,Västra Vägen 5 A,Solna,73,18.002463970027254,59.36098070466692
62922555,121970-2,Västra Vägen 11 A,Solna,94,18.005458886982534,59.35961767373085
62922556,121971-8,Hagalundsgatan 26,Solna,110,18.01283395404279,59.36160404365492
62922557,121972-3,Hagalundsgatan 26,Solna,150,18.01283395404279,59.36160404365492
62922558,121973-9,Hagalundsgatan 36,Solna,300,18.013838529231798,59.36122137079295
62922559,121974-4,Hagalundsgatan 30,Solna,300,18.013838529231798,59.36122137079295
62922560,121976-5,Hagalundsgatan 46,Solna,300,18.015136871129435,59.3609756714178
62922561,121977-0,Hagalundsgatan 42,Solna,300,18.015310089949914,59.361142400012085
62922562,121978-6,Jungfrudansen 14,Solna,200,17.98749079411008,59.347639097988754
62922563,121979-1,Jungfrudansen 10,Solna,200,17.986720324731937,59.347881413036184
62922564,121980-7,Jungfrudansen 2,Solna,200,17.985939939975502,59.34841150329111
62922565,121981-2,Jungfrudansen 56,Solna,188,17.98016380272006,59.34955916741143
62922566,121982-8,Jungfrudansen 42,Solna,188,17.9819163672982,59.348476693261624
62922567,121983-3,Jungfrudansen 48,Solna,145,17.98084706346815,59.3489235036045
62922568,121984-9,Armégatan 38,Solna,295,17.999148154774197,59.34894383701083
62922569,121985-4,Armegatan 38,Solna,295,17.9987665854565,59.349006536165454
62922570,121987-5,Emmylundsvägen 12,Solna,200,17.999065496664574,59.347409121082556
62922571,121988-0,Emmylundsvägen 4,Solna,158,17.999858030226054,59.34741783365566
62922572,121989-6,Jungfrudansen 20,Solna,138,17.985957045339614,59.3474046767838
62922573,121990-1,Hagalundsgatan 3,Solna,200,18.008989332238844,59.36350806034539
62922574,121991-7,Hagalundsgatan 5,Solna,370,18.008989332238844,59.36350806034539
62922575,121992-2,Hagalundsgatan 13,Solna,200,18.010399559360483,59.3633317156441
